user_id,event,url,time_stamp
476,view,http://columbia.edu/duis/at/velit/eu/est/congue.jpg?ut=vulputate&ultrices=luctus&vel=cum&augue=sociis&vestibulum=natoque&ante=penatibus&ipsum=et&primis=magnis,2017/03/02 21:13:00.32
472,,,2017/03/02 06:47:00.35
486,click,https://cdc.gov/mi/integer/ac/neque/duis.html?lobortis=posuere,2017/03/02 18:02:00.39
543,,,2017/03/02 02:45:00.32
523,view,http://dedecms.com/enim.jpg?rhoncus=nibh&aliquam=in&lacus=hac&morbi=habitasse&quis=platea,2017/03/02 20:43:00.05
559,view,https://taobao.com/sapien.xml?odio=justo&consequat=sit&varius=amet,2017/03/02 10:53:00.42
488,view,https://google.fr/lobortis/ligula/sit/amet/eleifend/pede.html?sapien=commodo,2017/03/02 06:23:00.22
464,click,http://surveymonkey.com/leo/rhoncus/sed.html?dapibus=tristique&duis=in&at=tempus&velit=sit,2017/03/02 09:20:00.14
488,,,2017/03/02 18:56:00.15
527,click,https://craigslist.org/hendrerit/at/vulputate/vitae/nisl.html?pulvinar=rhoncus,2017/03/02 14:57:00.34
526,click,https://i2i.jp/elementum/ligula/vehicula/consequat.js?ultrices=morbi&posuere=porttitor&cubilia=lorem&curae=id&mauris=ligula&viverra=suspendisse&diam=ornare&vitae=consequat&quam=lectus&suspendisse=in,2017/03/02 12:08:00.41
508,view,http://biblegateway.com/tortor/risus/dapibus/augue/vel.png?luctus=pharetra&tincidunt=magna&nulla=ac&mollis=consequat&molestie=metus&lorem=sapien&quisque=ut&ut=nunc&erat=vestibulum,2017/03/02 18:55:00.28
532,click,http://wunderground.com/magna/vestibulum/aliquet.xml?etiam=natoque&justo=penatibus&etiam=et&pretium=magnis&iaculis=dis&justo=parturient&in=montes&hac=nascetur&habitasse=ridiculus&platea=mus&dictumst=vivamus&etiam=vestibulum&faucibus=sagittis&cursus=sapien,2017/03/02 19:40:00.09
449,subscribe,https://dmoz.org/dolor/morbi/vel/lectus/in/quam/fringilla.jpg?est=pede&lacinia=ac&nisi=diam&venenatis=cras&tristique=pellentesque&fusce=volutpat&congue=dui,2017/03/02 16:45:00.36
502,view,https://china.com.cn/diam/neque/vestibulum/eget.xml?ac=aliquet&consequat=at,2017/03/02 09:25:00.38
483,click,https://mapy.cz/vel/dapibus/at/diam.aspx?iaculis=etiam&justo=justo&in=etiam&hac=pretium&habitasse=iaculis&platea=justo&dictumst=in,2017/03/02 10:05:00.4
513,view,http://sfgate.com/pellentesque/ultrices/phasellus/id/sapien/in/sapien.png?ut=ut&dolor=at&morbi=dolor&vel=quis&lectus=odio,2017/03/02 10:42:00.1
514,view,http://google.co.jp/leo/pellentesque.aspx?in=et&imperdiet=commodo&et=vulputate&commodo=justo&vulputate=in&justo=blandit&in=ultrices,2017/03/02 08:26:00.46
490,order,https://google.nl/bibendum/felis/sed/interdum/venenatis/turpis/enim.xml?ligula=iaculis&nec=justo,2017/03/02 02:57:00.42
520,view,http://ifeng.com/libero/rutrum/ac/lobortis.html?suscipit=vel&ligula=augue&in=vestibulum&lacus=rutrum&curabitur=rutrum&at=neque&ipsum=aenean&ac=auctor&tellus=gravida,2017/03/02 02:53:00.01
491,,,2017/03/02 09:25:00.44
513,view,https://forbes.com/dolor/vel/est/donec/odio.html?in=orci&tempor=luctus&turpis=et&nec=ultrices&euismod=posuere&scelerisque=cubilia&quam=curae&turpis=donec&adipiscing=pharetra&lorem=magna&vitae=vestibulum&mattis=aliquet&nibh=ultrices&ligula=erat&nec=tortor&sem=sollicitudin&duis=mi&aliquam=sit&convallis=amet&nunc=lobortis&proin=sapien&at=sapien&turpis=non&a=mi&pede=integer&posuere=ac&nonummy=neque&integer=duis&non=bibendum,2017/03/02 15:38:00.45
527,view,https://sakura.ne.jp/vel.png?tempus=nisi&vel=venenatis&pede=tristique&morbi=fusce&porttitor=congue&lorem=diam&id=id&ligula=ornare&suspendisse=imperdiet&ornare=sapien,2017/03/02 14:16:00.44
496,order,https://tinyurl.com/at/vulputate/vitae/nisl.js?elementum=at&in=feugiat&hac=non&habitasse=pretium&platea=quis&dictumst=lectus&morbi=suspendisse&vestibulum=potenti&velit=in,2017/03/02 08:30:00.24
492,view,https://webeden.co.uk/pulvinar/sed/nisl.jpg?elit=quisque&ac=erat&nulla=eros&sed=viverra&vel=eget&enim=congue&sit=eget&amet=semper&nunc=rutrum&viverra=nulla&dapibus=nunc&nulla=purus&suscipit=phasellus&ligula=in&in=felis&lacus=donec&curabitur=semper,2017/03/02 00:10:00.01
477,click,https://cafepress.com/tincidunt/eu.json?fusce=velit&congue=id&diam=pretium&id=iaculis&ornare=diam&imperdiet=erat&sapien=fermentum&urna=justo&pretium=nec&nisl=condimentum&ut=neque&volutpat=sapien&sapien=placerat&arcu=ante&sed=nulla&augue=justo&aliquam=aliquam&erat=quis&volutpat=turpis&in=eget&congue=elit&etiam=sodales&justo=scelerisque&etiam=mauris&pretium=sit&iaculis=amet,2017/03/02 07:42:00.03
532,view,http://last.fm/semper/est.aspx?rutrum=justo&neque=nec&aenean=condimentum&auctor=neque&gravida=sapien&sem=placerat&praesent=ante&id=nulla&massa=justo&id=aliquam&nisl=quis&venenatis=turpis&lacinia=eget&aenean=elit&sit=sodales&amet=scelerisque&justo=mauris&morbi=sit&ut=amet&odio=eros&cras=suspendisse&mi=accumsan&pede=tortor&malesuada=quis&in=turpis&imperdiet=sed&et=ante&commodo=vivamus,2017/03/02 11:30:00.2
519,view,https://behance.net/felis/ut.html?amet=ut&diam=massa&in=quis&magna=augue&bibendum=luctus&imperdiet=tincidunt&nullam=nulla&orci=mollis&pede=molestie&venenatis=lorem&non=quisque&sodales=ut&sed=erat&tincidunt=curabitur&eu=gravida,2017/03/02 12:26:00.19
554,subscribe,https://twitpic.com/convallis/duis/consequat/dui.png?nulla=ac&pede=enim&ullamcorper=in,2017/03/02 16:34:00.22
534,click,http://google.de/consequat/lectus.xml?venenatis=quam&lacinia=pede&aenean=lobortis&sit=ligula&amet=sit&justo=amet&morbi=eleifend,2017/03/02 14:04:00.07
475,view,http://blogspot.com/et/ultrices/posuere/cubilia/curae/mauris/viverra.xml?dictumst=quam&etiam=sapien&faucibus=varius&cursus=ut&urna=blandit&ut=non&tellus=interdum&nulla=in&ut=ante,2017/03/02 00:37:00.36
510,order,https://w3.org/rutrum/ac/lobortis/vel/dapibus/at.jsp?quis=justo&augue=lacinia&luctus=eget&tincidunt=tincidunt&nulla=eget&mollis=tempus&molestie=vel&lorem=pede&quisque=morbi&ut=porttitor&erat=lorem&curabitur=id&gravida=ligula&nisi=suspendisse&at=ornare&nibh=consequat&in=lectus,2017/03/02 18:15:00.46
508,view,http://geocities.jp/neque/aenean/auctor.aspx?sed=porta&vel=volutpat&enim=erat&sit=quisque&amet=erat&nunc=eros&viverra=viverra&dapibus=eget&nulla=congue&suscipit=eget&ligula=semper&in=rutrum&lacus=nulla&curabitur=nunc&at=purus&ipsum=phasellus&ac=in&tellus=felis&semper=donec&interdum=semper&mauris=sapien&ullamcorper=a&purus=libero&sit=nam&amet=dui&nulla=proin&quisque=leo,2017/03/02 19:38:00.56
496,view,https://epa.gov/tristique.aspx?dapibus=maecenas&nulla=tristique&suscipit=est&ligula=et&in=tempus&lacus=semper&curabitur=est&at=quam&ipsum=pharetra&ac=magna&tellus=ac&semper=consequat&interdum=metus&mauris=sapien&ullamcorper=ut&purus=nunc&sit=vestibulum&amet=ante&nulla=ipsum&quisque=primis&arcu=in&libero=faucibus&rutrum=orci&ac=luctus,2017/03/02 08:27:00.15
505,,,2017/03/02 11:27:00.37
550,order,https://example.com/pretium.jpg?donec=lobortis&ut=convallis&mauris=tortor&eget=risus&massa=dapibus&tempor=augue&convallis=vel,2017/03/02 20:43:00.56
461,view,https://pen.io/quis.xml?tortor=pede&sollicitudin=libero&mi=quis&sit=orci&amet=nullam&lobortis=molestie&sapien=nibh&sapien=in&non=lectus&mi=pellentesque&integer=at&ac=nulla&neque=suspendisse&duis=potenti&bibendum=cras&morbi=in&non=purus&quam=eu&nec=magna&dui=vulputate&luctus=luctus&rutrum=cum&nulla=sociis&tellus=natoque&in=penatibus&sagittis=et&dui=magnis&vel=dis&nisl=parturient&duis=montes&ac=nascetur&nibh=ridiculus&fusce=mus&lacus=vivamus&purus=vestibulum&aliquet=sagittis&at=sapien,2017/03/02 03:27:00.46
503,view,https://yellowbook.com/non/velit/nec/nisi/vulputate/nonummy/maecenas.js?mattis=metus&odio=vitae&donec=ipsum&vitae=aliquam&nisi=non&nam=mauris&ultrices=morbi&libero=non&non=lectus&mattis=aliquam&pulvinar=sit&nulla=amet&pede=diam&ullamcorper=in&augue=magna&a=bibendum&suscipit=imperdiet&nulla=nullam&elit=orci&ac=pede&nulla=venenatis&sed=non&vel=sodales&enim=sed&sit=tincidunt&amet=eu&nunc=felis&viverra=fusce&dapibus=posuere&nulla=felis&suscipit=sed&ligula=lacus,2017/03/02 14:27:00.37
493,view,http://guardian.co.uk/sit/amet/sem/fusce.html?sem=nibh&duis=ligula&aliquam=nec&convallis=sem&nunc=duis&proin=aliquam&at=convallis&turpis=nunc&a=proin&pede=at&posuere=turpis,2017/03/02 03:47:00.47
498,click,https://alexa.com/enim/lorem/ipsum.jsp?est=amet&quam=eleifend&pharetra=pede&magna=libero&ac=quis&consequat=orci&metus=nullam&sapien=molestie&ut=nibh&nunc=in&vestibulum=lectus&ante=pellentesque&ipsum=at&primis=nulla&in=suspendisse&faucibus=potenti&orci=cras&luctus=in,2017/03/02 08:35:00.55
484,subscribe,https://techcrunch.com/curae/duis/faucibus/accumsan.js?rutrum=tortor&nulla=risus&nunc=dapibus&purus=augue&phasellus=vel&in=accumsan&felis=tellus&donec=nisi&semper=eu&sapien=orci&a=mauris&libero=lacinia&nam=sapien&dui=quis&proin=libero,2017/03/02 12:57:00.08
